Company,"CIK Code","IRS Number",Ticker,Market,"Bus Street 1","Bus Street 2",City,County,"State Code","State Name","State Region",Zip,"Bus Phone","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","S&P Index",Auditor,"Auditor Key","Auditor Affiliate","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region","IC Opinion Key","Internal Control Report","Restated Internal Control Report",Opinion,"Agrees with Management","IC Framework","Effective Internal Controls","Year Ended Date","Fiscal Year","Signature Date","Note Dates","Filing Index Page","Source FTP Key",Source,"Source Date","Accounting Rule (GAAP/FASB) Application Failures","Financial Fraud, Irregularities and Misrepresentations","Errors in Accounting and Clerical Applications","Internal Control Weakness","Internal Control - Number Weaknesses Identified",Exemption(s),"Fees Currency","Audit Fees ($)","Non-Audit Fees ($)","Total Fees ($)","Share Price","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)","First Auditor Report","First Management Report"
"CHESAPEAKE UTILITIES CORP",19745,51-0064146,CPK,NYSE,"500 ENERGY LANE",,DOVER,Kent,DE,DELAWARE,"US Mid Atlantic",19901,"(302) 734-6799",,,4923,"Natural Gas Transmission and Distribution",221210,"Natural Gas Distribution",34,"S&P 600 SmallCap","Baker Tilly US LLP",32612,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",199283,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-23,,https://www.sec.gov/Archives/edgar/data/19745/000162828022003530/0001628280-22-003530-index.htm,edgar/data/19745/0001628280-22-003530.txt,10-K,"2022-02-23 16:41:07",,,,,0,,USD,"899,905","48,780","948,685",143.22,2021-12-29,"2,521,272,832",2021-12-31,"569,968,000","83,466,000","716,230,000","2,114,869,000",,
"MIDDLESEX WATER CO",66004,22-1114430,MSEX,"NASDAQ Global Select Market","485C ROUTE 1 SOUTH","SUITE 400",ISELIN,Middlesex,NJ,"NEW JERSEY","US Mid Atlantic",08830,"(732) 634-1500",,,4941,"Water Supply",221310,"Water Supply and Irrigation Systems",34,"S&P 600 SmallCap","Baker Tilly US LLP",32612,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",200336,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-25,,https://www.sec.gov/Archives/edgar/data/66004/000117494722000283/0001174947-22-000283-index.htm,edgar/data/66004/0001174947-22-000283.txt,10-K,"2022-02-25 16:10:24",,,,,0,,USD,"432,150","31,000","463,150",116.52,2021-12-29,"2,038,752,128",2021-12-31,"143,141,000","36,543,000",,"1,020,015,000",,
"CITIZENS & NORTHERN CORP",810958,23-2451943,CZNC,"NASDAQ Capital Market","90-92 MAIN ST",,WELLSBORO,Tioga,PA,PENNSYLVANIA,"US Mid Atlantic",16901,"(877) 838-2517",,,6022,"State Commercial Banks",522110,"Commercial Banking",34,,"Baker Tilly US LLP",32612,,Pittsburgh,PA,PENNSYLVANIA,"US Mid Atlantic",198772,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-22,,https://www.sec.gov/Archives/edgar/data/810958/000155837022001548/0001558370-22-001548-index.htm,edgar/data/810958/0001558370-22-001548.txt,10-K,"2022-02-22 13:15:19",,,,,0,,USD,"281,280","51,086","332,366",26.12,2021-12-29,"411,416,256",2021-12-31,"100,159,000","30,554,000","245,584,000","2,327,648,000",,
"NAPCO SECURITY TECHNOLOGIES, INC",69633,11-2277818,NSSC,"NASDAQ Global Select Market","333 BAYVIEW AVE",,AMITYVILLE,Suffolk,NY,"NEW YORK","US Mid Atlantic",11701,"(631) 842-9400",,,3669,"Communications Equipment, NEC",334290,"Other Communications Equipment Manufacturing",34,,"Baker Tilly US LLP",32612,,Uniondale,NY,"NEW YORK","US Mid Atlantic",206483,"Auditor Report","Yes (1)","Integrated with Financial Statement Opinion",Yes,2013,No,2021-06-30,2021,2021-09-13,"|2022-01-04 | 2022-05-17|",https://www.sec.gov/Archives/edgar/data/69633/000155837022009121/0001558370-22-009121-index.htm,edgar/data/69633/0001558370-22-009121.txt,10-K/A,"2022-05-17 16:49:04","|Acc - Liabilities, payables, reserves and accrual estimate failures|",,,"|IC - Restatement or nonreliance of company filings|IC - Accounting documentation, policy and/or procedures|",1,,USD,"342,000","19,000","361,000",35.44,2021-07-02,"650,362,432",2021-06-30,"114,035,000","15,413,000","87,697,000","122,551,000",,
"PEOPLES FINANCIAL SERVICES CORP.",1056943,23-2391852,PFIS,"NASDAQ Global Select Market","150 N WASHINGTON AVE",,SCRANTON,Lackawanna,PA,PENNSYLVANIA,"US Mid Atlantic",18503,"(570) 346-7741",,,6021,"National Commercial Banks",522110,"Commercial Banking",34,,"Baker Tilly US LLP",32612,,"Wilkes Barre",PA,PENNSYLVANIA,"US Mid Atlantic",203294,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-16,,https://www.sec.gov/Archives/edgar/data/1056943/000155837022003741/0001558370-22-003741-index.htm,edgar/data/1056943/0001558370-22-003741.txt,10-K,"2022-03-16 14:09:24",,,,,0,,USD,"306,500","30,850","337,350",52.84,2021-12-29,"379,006,624",2021-12-31,"108,521,000","43,519,000","276,288,000","3,369,483,000",,
"VanEck Merk Gold Trust",1546652,46-6582016,OUNZ,"NYSE Arca","2 HANSON PLACE",,BROOKLYN,Kings,NY,"NEW YORK","US Mid Atlantic",11217,"650-323-4341 X109",,,6221,"Commodity Contracts Brokers and Dealers",523140,"Commodity Contracts Brokerage",34,,"BBD LLP",11308,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",194657,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-01-31,2021,2021-04-09,,https://www.sec.gov/Archives/edgar/data/1546652/000121390021021828/0001213900-21-021828-index.htm,edgar/data/1546652/0001213900-21-021828.txt,10-K,"2021-04-16 08:09:51",,,,,0,,USD,"60,750",0,"60,750",17.88,2021-02-02,"404,508,704",2021-01-31,,"38,317,217",,"449,959,433",,
"TRANSGLOBE ENERGY CORP",736744,00-0000000,,,"900, 444 - 5TH AVENUE SW",,CALGARY,,A0,ALBERTA,Canada,T2P2T8,"(403) 264-9888",,,1311,"Crude Petroleum and Natural Gas",211111,"Crude Petroleum and Natural Gas Extraction",34,,"BDO Canada LLP",11512,,Calgary,A0,ALBERTA,Canada,203486,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-17,,https://www.sec.gov/Archives/edgar/data/736744/000119312522078205/0001193125-22-078205-index.htm,edgar/data/736744/0001193125-22-078205.txt,40-F,"2022-03-17 15:06:39",,,,,0,,USD,"318,251","8,548","326,799",2.94,2021-12-29,"213,273,696",2021-12-31,"169,047,000","40,338,000","175,901,000","239,095,000",,
"ACM Research, Inc.",1680062,94-3290283,ACMR,"NASDAQ Global Market","42307 OSGOOD ROAD, SUITE I",,FREMONT,Alameda,CA,CALIFORNIA,"US West",94539,"(510) 445-3700",,,3559,"Special  Industry Machinery, NEC",333295,"Semiconductor Machinery Manufacturing",34,,"BDO China Shu Lun Pan CPAs LLP",13703,,Shenzhen,F4,CHINA,Foreign,201619,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-01,,https://www.sec.gov/Archives/edgar/data/1680062/000114036122007348/0001140361-22-007348-index.htm,edgar/data/1680062/0001140361-22-007348.txt,10-K,"2022-03-01 16:32:19",,,,,0,,USD,"723,850","1,579,450","2,303,300",80.61,2021-12-29,"1,435,817,856",2021-12-31,"259,751,000","37,757,000","666,060,000","1,052,179,000",,
"Startek, Inc.",1031029,84-1370538,SRT,NYSE,"4610 SOUTH ULSTER STREET","SUITE 150",DENVER,Denver,CO,COLORADO,"US West",80237,"(303) 262-4500",,,7363,"Help Supply Services",518210,"Data Processing, Hosting, and Related Services",34,,"BDO India LLP",26507,,Mumbai,K7,INDIA,Foreign,203008,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-14,,https://www.sec.gov/Archives/edgar/data/1031029/000143774922006117/0001437749-22-006117-index.htm,edgar/data/1031029/0001437749-22-006117.txt,10-K,"2022-03-14 16:02:53",,,,,0,,USD,"650,000",0,"650,000",5.23,2021-12-29,"213,406,896",2021-12-31,"470,329,000","9,726,000","-23,345,000","642,475,000",,
"Blue Bird Corp",1589526,46-3891989,BLBD,"NASDAQ Global Market","3920 ARKWRIGHT ROAD","SUITE 200",MACON,Bibb,GA,GEORGIA,"US Southeast",31210,"(478) 822-2801",,,3713,"Truck and Bus Bodies",336211,"Motor Vehicle Body Manufacturing",34,,"BDO USA LLP",11761,,Atlanta,GA,GEORGIA,"US Southeast",197175,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-10-02,2021,2021-12-15,,https://www.sec.gov/Archives/edgar/data/1589526/000158952621000140/0001589526-21-000140-index.htm,edgar/data/1589526/0001589526-21-000140.txt,10-K,"2021-12-15 16:03:16",,,,,0,,USD,"1,595,178",0,"1,595,178",20.88,2021-10-04,"568,028,608",2021-10-02,"683,995,000","-289,000","-100,924,000","356,020,000",,
"WideOpenWest, Inc.",1701051,46-0552948,WOW,NYSE,"7887 EAST BELLEVIEW AVENUE, SUITE 1000",,ENGLEWOOD,Arapahoe,CO,COLORADO,"US West",80111,"(720) 479-3500",,,4841,"Cable and Other Pay Television Services",517110,"Wired Telecommunications Carriers",34,,"BDO USA LLP",11761,,Atlanta,GA,GEORGIA,"US Southeast",199450,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-24,,https://www.sec.gov/Archives/edgar/data/1701051/000155837022001834/0001558370-22-001834-index.htm,edgar/data/1701051/0001558370-22-001834.txt,10-K,"2022-02-24 07:18:24",,,,,0,,USD,"1,000,000",0,"1,000,000",21.48,2021-12-29,"1,872,240,256",2021-12-31,"725,700,000","770,500,000","-276,100,000","1,906,700,000",,
"INTERFACE INC",715787,58-1451243,TILE,"NASDAQ Global Select Market","1280 WEST PEACHTREE ST. NW",,ATLANTA,Fulton,GA,GEORGIA,"US Southeast",30309,"(770) 437-6800",,,2273,"Carpets and Rugs",314110,"Carpet and Rug Mills",34,"S&P 600 SmallCap","BDO USA LLP",11761,,Atlanta,GA,GEORGIA,"US Southeast",201998,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2022-01-02,2021,2022-03-02,,https://www.sec.gov/Archives/edgar/data/715787/000071578722000005/0000715787-22-000005-index.htm,edgar/data/715787/0000715787-22-000005.txt,10-K,"2022-03-02 16:17:08",,,,,0,,USD,"2,198,000","134,000","2,332,000",16.41,2022-01-04,"969,091,520",2022-01-02,"1,200,398,000","55,234,000","140,194,000","1,330,057,000",,
"Atlanticus Holdings Corp",1464343,58-2336689,ATLC,"NASDAQ Global Select Market","FIVE CONCOURSE PARKWAY","SUITE 300",ATLANTA,Fulton,GA,GEORGIA,"US Southeast",30328,"(770) 828-2000",,,6141,"Personal Credit Institutions",522291,"Consumer Lending",34,,"BDO USA LLP",11761,,Atlanta,GA,GEORGIA,"US Southeast",203193,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-15,,https://www.sec.gov/Archives/edgar/data/1464343/000143774922006296/0001437749-22-006296-index.htm,edgar/data/1464343/0001437749-22-006296.txt,10-K,"2022-03-15 16:30:55",,,,,0,,USD,"906,006","411,897","1,317,903",69.07,2021-12-29,"1,042,531,520",2021-12-31,"438,741,000","177,902,000",,"1,943,863,000",Yes,
"Array Technologies, Inc.",1820721,83-2747826,ARRY,"NASDAQ Global Market","3901 MIDWAY PLACE NE",,ALBUQUERQUE,Bernalillo,NM,"NEW MEXICO","US Southwest",87109,"(505) 881-7567",,,3990,"Miscellaneous Manufacturing Industries",335121,"Residential Electric Lighting Fixture Manufacturing",34,,"BDO USA LLP",11761,,Austin,TX,TEXAS,"US Southwest",205357,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-04-06,,https://www.sec.gov/Archives/edgar/data/1820721/000182072122000033/0001820721-22-000033-index.htm,edgar/data/1820721/0001820721-22-000033.txt,10-K,"2022-04-06 06:05:19","|Acc - Accounts/loans receivable,  investments  & cash issues|Acc - Inventory, vendor, and cost of sales issues|Acc - Revenue recognition issues|",,,"|IC - Restatement or nonreliance of company filings|IC - Inadequate disclosure controls (timely, accuracy, completeness)|IC - Accounting documentation, policy and/or procedures|",4,,USD,"3,981,738","52,500","4,034,238",15.75,2021-12-29,"2,126,674,304",2021-12-31,"853,318,000","-50,403,000","-76,223,000","1,142,979,000",Yes,
"Nuance Communications, Inc.",1002517,94-3156479,,,"1 WAYSIDE ROAD",,BURLINGTON,Middlesex,MA,MASSACHUSETTS,"US New England",01803,"(781) 565-5000",,,7372,"Prepackaged Software",511210,"Software Publishers",34,,"BDO USA LLP",11761,,Boston,MA,MASSACHUSETTS,"US New England",196886,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-09-30,2021,2021-11-18,,https://www.sec.gov/Archives/edgar/data/1002517/000100251721000052/0001002517-21-000052-index.htm,edgar/data/1002517/0001002517-21-000052.txt,10-K,"2021-11-18 16:03:18",,,,,0,,USD,"2,400,000","385,000","2,785,000",55,2021-09-28,"17,298,696,192",2021-09-30,"1,362,379,000","-26,726,000","-603,629,000","3,386,653,000",,
"Cerence Inc.",1768267,83-4177087,CRNC,"NASDAQ Global Select Market","15 WAYSIDE ROAD",,BURLINGTON,Middlesex,MA,MASSACHUSETTS,"US New England",01880,"(617) 580-0843",,,7372,"Prepackaged Software",511210,"Software Publishers",34,"S&P 600 SmallCap","BDO USA LLP",11761,,Boston,MA,MASSACHUSETTS,"US New England",196958,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-09-30,2021,2021-11-22,,https://www.sec.gov/Archives/edgar/data/1768267/000156459021057931/0001564590-21-057931-index.htm,edgar/data/1768267/0001564590-21-057931.txt,10-K,"2021-11-22 18:10:48",,,,,0,,USD,"1,706,042",0,"1,706,042",101.51,2021-09-28,"3,858,039,040",2021-09-30,"387,182,000","45,893,000","-121,914,000","1,705,728,000",Yes,
"DraftKings Holdings Inc.",1772757,84-4052441,,,"222 BERKELEY STREET","5TH FLOOR",BOSTON,Suffolk,MA,MASSACHUSETTS,"US New England",02116,"(617) 986-6744",,,7990,"Services-Miscellaneous Amusement & Recreation",713290,"Other Gambling Industries",34,,"BDO USA LLP",11761,,Boston,MA,MASSACHUSETTS,"US New England",198441,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-18,,https://www.sec.gov/Archives/edgar/data/1772757/000177275722000007/0001772757-22-000007-index.htm,edgar/data/1772757/0001772757-22-000007.txt,10-K,"2022-02-18 07:06:06",,,,,0,,USD,"2,994,000","118,000","3,112,000",26.59,2021-12-29,"10,807,585,792",2021-12-31,"1,296,025,000","-1,523,195,000","527,856,000","4,069,054,000",Yes,
"COVETRUS, INC.",1752836,83-1448706,,,"7 CUSTOM HOUSE STREET",,PORTLAND,Cumberland,ME,MAINE,"US New England",04101,"(888) 280-2221",,,5912,"Drug Stores and Proprietary Stores",424210,"Drugs and Druggists' Sundries Merchant Wholesalers",34,"S&P 600 SmallCap","BDO USA LLP",11761,,Boston,MA,MASSACHUSETTS,"US New England",200993,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-28,,https://www.sec.gov/Archives/edgar/data/1752836/000175283622000018/0001752836-22-000018-index.htm,edgar/data/1752836/0001752836-22-000018.txt,10-K,"2022-02-28 16:56:27",,,,,0,,USD,"3,956,000","541,700","4,497,700",19.78,2021-12-29,"2,725,354,752",2021-12-31,"4,575,000,000","-54,000,000","-152,000,000","3,410,000,000",,
"AVID TECHNOLOGY, INC.",896841,04-2977748,AVID,"NASDAQ Global Select Market","75 NETWORK DRIVE",,BURLINGTON,Middlesex,MA,MASSACHUSETTS,"US New England",01803,"(978) 640-6789",,,7372,"Prepackaged Software",334310,"Audio and Video Equipment Manufacturing",34,"S&P 600 SmallCap","BDO USA LLP",11761,,Boston,MA,MASSACHUSETTS,"US New England",201768,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-01,,https://www.sec.gov/Archives/edgar/data/896841/000089684122000020/0000896841-22-000020-index.htm,edgar/data/896841/0000896841-22-000020.txt,10-K,"2022-03-01 16:30:13",,,,,0,,USD,"1,988,000","159,000","2,147,000",32.36,2021-12-29,"1,456,911,488",2021-12-31,"409,944,000","41,388,000","-156,717,000","274,000,000",,
"3D SYSTEMS CORP",910638,95-4431352,DDD,NYSE,"333 THREE D SYSTEMS CIRCLE",,"ROCK HILL",York,SC,"SOUTH CAROLINA","US Southeast",29730,"(803) 326-3900",,,7372,"Prepackaged Software",511210,"Software Publishers",34,"S&P 600 SmallCap","BDO USA LLP",11761,,Charlotte,NC,"NORTH CAROLINA","US Southeast",201645,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-03-01,,https://www.sec.gov/Archives/edgar/data/910638/000091063822000013/0000910638-22-000013-index.htm,edgar/data/910638/0000910638-22-000013.txt,10-K,"2022-03-01 16:05:59","|Acc - Liabilities, payables, reserves and accrual estimate failures|Acc - Tax expense/benefit/deferral/other (FAS 109) issues|",,,"|IC - Inadequate disclosure controls (timely, accuracy, completeness)|IC - Accounting documentation, policy and/or procedures|IC - Non-routine transaction control issues|",3,,USD,"2,147,000","160,000","2,307,000",21.18,2021-12-29,"2,705,307,648",2021-12-31,"615,639,000","322,052,000","450,958,000","1,549,099,000",,
